step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/stand_still,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
3712,0.082349,0.058467,0.086705,-0.008829,-0.002431,-0.000601,-0.024500,-0.000433,-0.000825,-0.007333,0.000000,0.012365,-0.003247,-0.028374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.395063,0.386909,0.263112,0.133301,0.011204,-0.003936,9.964735,0.000010,0.565283,192150.000000,1.307430,0.738967,3.268761,288.869995,3.268761,288.869995
3713,0.104296,0.066151,0.095501,-0.004315,-0.001839,-0.000543,-0.025971,-0.000308,-0.000867,-0.007406,0.000000,0.014152,-0.003254,-0.012488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.391548,0.403549,0.283834,0.134216,0.010596,-0.002647,9.964738,0.000015,0.565269,201225.000000,1.324516,0.629590,4.365645,315.790009,4.365645,315.790009
3714,0.112025,0.066551,0.100206,-0.009491,-0.002836,-0.000809,-0.026855,-0.000509,-0.000956,-0.008543,0.000000,0.015368,-0.003642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.411712,0.471391,0.304749,0.135193,0.011164,-0.002032,9.963998,0.000171,0.565146,196163.000000,1.313227,0.691305,4.792504,331.829987,4.792504,331.829987
3715,0.122531,0.074594,0.107785,-0.008333,-0.002658,-0.000736,-0.029102,-0.000486,-0.001007,-0.008700,0.000000,0.016589,-0.003960,-0.021664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.445641,0.467867,0.325409,0.136261,0.009463,-0.001672,9.961108,0.000010,0.565080,202483.000000,1.290511,0.651450,4.979321,356.660004,4.979321,356.660004
3716,0.143930,0.079971,0.117236,-0.003125,-0.002411,-0.000800,-0.031215,-0.000364,-0.001073,-0.009224,0.000000,0.017873,-0.004185,-0.016019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.453834,0.516273,0.348307,0.137166,0.009929,-0.002440,9.960784,0.000384,0.565126,197339.000000,1.290097,0.702485,5.685064,388.269989,5.685064,388.269989
3717,0.162331,0.086295,0.126138,0.000000,-0.001994,-0.000841,-0.033543,-0.000277,-0.001138,-0.009626,0.000000,0.018497,-0.004435,-0.068362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.477230,0.546345,0.367493,0.137451,0.007700,-0.000571,9.966848,0.000114,0.565477,192713.000000,1.299346,0.741071,5.803865,414.200012,5.803865,414.200012
3718,0.173861,0.085171,0.125215,-0.013968,-0.003832,-0.001233,-0.034452,-0.000656,-0.001207,-0.010652,0.000000,0.018373,-0.004965,-0.078181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.453415,0.569678,0.387634,0.137980,0.007962,-0.003382,9.971134,0.000010,0.565517,197589.000000,1.333604,0.656464,5.149820,421.260010,5.149820,421.260010
3719,0.195857,0.094241,0.138712,-0.002857,-0.002783,-0.001179,-0.037072,-0.000471,-0.001282,-0.011166,0.000000,0.021549,-0.005303,-0.014312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.487062,0.608467,0.408356,0.138875,0.008675,-0.003692,9.970776,0.000010,0.565475,199811.000000,1.309818,0.658120,7.284704,460.089996,7.284704,460.089996
3720,0.200953,0.095371,0.143526,-0.006111,-0.002790,-0.001225,-0.039070,-0.000529,-0.001327,-0.011243,0.000000,0.023063,-0.005434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.509381,0.639838,0.428894,0.139659,0.070283,-0.001708,9.974088,0.000114,0.566024,196474.000000,1.330744,0.670616,7.827973,476.329987,7.827973,476.329987
3721,0.206253,0.098787,0.146518,-0.011944,-0.003833,-0.001506,-0.041502,-0.000801,-0.001397,-0.012496,0.000000,0.021601,-0.005700,-0.032080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.521517,0.654846,0.450348,0.140503,0.013386,-0.003278,9.988012,0.000010,0.566273,193610.000000,1.300331,0.730637,7.444616,497.200012,7.444616,497.200012
3722,0.223933,0.102209,0.150122,-0.015774,-0.004136,-0.001584,-0.040159,-0.000719,-0.001415,-0.012513,0.000000,0.022710,-0.006084,-0.046048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.508048,0.668907,0.471608,0.141632,0.017264,-0.002261,9.989288,0.000010,0.566311,192218.000000,1.313968,0.731708,7.451513,508.190002,7.451513,508.190002
3723,0.222459,0.107458,0.160869,-0.010913,-0.004295,-0.001791,-0.043175,-0.000874,-0.001539,-0.013812,0.000000,0.023976,-0.006560,-0.024756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.588866,0.731536,0.490763,0.143280,0.012705,-0.002293,9.991186,0.000010,0.566388,192187.000000,1.297355,0.748650,8.109880,538.119995,8.109880,538.119995
3724,0.251330,0.112942,0.167817,-0.010694,-0.004368,-0.001673,-0.045941,-0.000758,-0.001614,-0.014221,0.000000,0.024985,-0.006883,-0.045493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.570658,0.757172,0.514425,0.144887,0.010228,-0.001845,9.991787,0.000010,0.566374,200011.000000,1.332566,0.633398,8.793570,560.500000,8.793570,560.500000
3725,0.280726,0.121883,0.182271,-0.001667,-0.003221,-0.001599,-0.048786,-0.000522,-0.001695,-0.014379,0.000000,0.026328,-0.007245,-0.036969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.603658,0.813418,0.532033,0.145406,0.011416,-0.001614,9.991920,0.000010,0.566379,198061.000000,1.333241,0.652080,9.462001,595.039978,9.462001,595.039978
3726,0.297875,0.125638,0.185163,-0.006944,-0.003663,-0.001696,-0.049922,-0.000843,-0.001737,-0.014932,0.000000,0.025638,-0.007391,-0.107061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.577761,0.816093,0.550334,0.145905,0.008906,-0.001604,9.992338,0.000010,0.566399,186441.000000,1.315005,0.794051,9.244449,617.559998,9.244449,617.559998
3727,0.281855,0.122531,0.182670,-0.016875,-0.005222,-0.002078,-0.050572,-0.000875,-0.001741,-0.015530,0.000000,0.026107,-0.007892,-0.081954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.601195,0.828008,0.568929,0.147288,0.008854,-0.002380,9.992652,0.000010,0.566416,197100.000000,1.272943,0.722057,8.354026,610.539978,8.354026,610.539978
3728,0.301828,0.130108,0.193985,-0.011944,-0.005180,-0.002095,-0.053751,-0.001220,-0.001849,-0.016687,0.000000,0.028551,-0.008080,-0.080408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.640543,0.880703,0.587830,0.148773,0.008378,-0.001933,9.993513,0.000010,0.566461,200237.000000,1.260513,0.703240,9.011346,645.359985,9.011346,645.359985
3729,0.311083,0.133710,0.198772,-0.013889,-0.005459,-0.002200,-0.053503,-0.000994,-0.001899,-0.017105,0.000000,0.029097,-0.008274,-0.022748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.659540,0.901537,0.605957,0.149953,0.009429,-0.001787,9.994897,0.000384,0.566529,201311.000000,1.348696,0.604574,11.106233,673.130005,11.106233,673.130005
3730,0.365151,0.148191,0.217554,-0.002083,-0.004100,-0.001977,-0.058194,-0.000589,-0.001967,-0.017237,0.000000,0.031965,-0.008505,-0.081762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.657002,0.944025,0.624959,0.150564,0.009198,-0.003621,10.001348,0.000034,0.566844,195484.000000,1.367580,0.643919,11.188544,714.719971,11.188544,714.719971
3731,0.320951,0.132426,0.196725,-0.027917,-0.005928,-0.002279,-0.054481,-0.001168,-0.001890,-0.017409,0.000000,0.029165,-0.008204,-0.037141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.622500,0.890840,0.640574,0.152415,0.008397,-0.001719,10.004455,0.000010,0.566886,197478.000000,1.328445,0.662742,10.388940,661.900024,10.388940,661.900024
3732,0.367290,0.148893,0.220389,-0.012083,-0.004616,-0.002039,-0.059678,-0.000808,-0.002031,-0.018013,0.000000,0.031425,-0.008944,-0.073892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.673104,0.976707,0.659037,0.154144,0.011602,-0.001422,10.008364,0.000171,0.567393,199660.000000,1.301342,0.668084,11.649043,741.179993,11.649043,741.179993
3733,0.368741,0.152747,0.227435,-0.011944,-0.005315,-0.002259,-0.061475,-0.000944,-0.002154,-0.018941,0.000000,0.033351,-0.009622,-0.030253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.734239,1.023146,0.679270,0.155253,0.009100,-0.000633,10.021546,0.000010,0.567712,194087.000000,1.308326,0.717647,12.818074,752.109985,12.818074,752.109985
3734,0.412736,0.161349,0.240368,-0.007024,-0.005018,-0.002382,-0.064649,-0.000840,-0.002217,-0.019769,0.000000,0.033770,-0.009937,-0.112632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.715642,1.062685,0.701375,0.157094,0.008547,-0.002010,10.026147,0.000171,0.568186,195262.000000,1.275147,0.738637,12.648798,788.590027,12.648798,788.590027
3735,0.415708,0.162554,0.239344,-0.013472,-0.005896,-0.002463,-0.067477,-0.001099,-0.002226,-0.020133,0.000000,0.035137,-0.009651,-0.037080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.711080,1.054960,0.719900,0.157664,0.009910,-0.001569,10.035370,0.000010,0.568322,198680.000000,1.310701,0.668441,14.230190,808.830017,14.230190,808.830017
3736,0.447059,0.173029,0.255279,-0.006349,-0.005364,-0.002467,-0.071019,-0.001229,-0.002377,-0.021427,0.000000,0.036790,-0.010490,-0.119675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.741735,1.119008,0.739929,0.159068,0.006780,-0.002081,10.035902,0.000010,0.568327,199316.000000,1.320490,0.652333,12.818922,841.460022,12.818922,841.460022
3737,0.447251,0.167618,0.246216,-0.018611,-0.006281,-0.002719,-0.066169,-0.000877,-0.002271,-0.020648,0.000000,0.034960,-0.010088,-0.120711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.697532,1.080909,0.755809,0.160655,0.011942,-0.001867,10.035654,0.000051,0.568365,200843.000000,1.369151,0.588668,12.678074,829.109985,12.678074,829.109985
3738,0.487715,0.185799,0.270490,-0.005139,-0.005027,-0.002571,-0.072790,-0.000774,-0.002460,-0.021378,0.000000,0.039010,-0.011221,-0.099580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.769110,1.162839,0.776154,0.161540,0.006261,-0.001188,10.036557,0.000010,0.568388,200935.000000,1.341531,0.615394,15.088473,898.270020,15.088473,898.270020
3739,0.485058,0.185836,0.275043,-0.006944,-0.005299,-0.002555,-0.073921,-0.000720,-0.002504,-0.022116,0.000000,0.039441,-0.011240,-0.052457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.804826,1.200879,0.796316,0.162160,0.005525,-0.001573,10.035543,0.000023,0.568281,195280.000000,1.305474,0.708118,15.210136,918.750000,15.210136,918.750000
3740,0.530419,0.198830,0.290103,-0.001190,-0.004869,-0.002590,-0.077934,-0.000623,-0.002622,-0.023022,0.000000,0.040151,-0.011875,-0.101609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.811282,1.243177,0.816010,0.162506,0.006938,-0.001593,10.032994,0.000010,0.568194,199115.000000,1.329046,0.645771,16.756111,959.669983,16.756111,959.669983
3741,0.538369,0.199130,0.293184,-0.003750,-0.005924,-0.002802,-0.079994,-0.001014,-0.002683,-0.023874,0.000000,0.040274,-0.011851,-0.151691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.814764,1.270881,0.832886,0.162842,0.012148,-0.000613,10.032651,0.000015,0.568237,198793.000000,1.302135,0.675874,16.752007,975.390015,16.752007,975.390015
3742,0.565355,0.205586,0.297314,-0.001875,-0.005076,-0.002698,-0.079936,-0.000638,-0.002684,-0.023418,0.000000,0.042492,-0.012166,-0.043687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.792568,1.256540,0.850759,0.149241,0.012510,-0.001512,10.040085,0.000384,0.569226,198569.000000,1.344756,0.635489,18.634983,1000.000000,18.634983,1000.000000
3743,0.572090,0.202421,0.294028,-0.004096,-0.005204,-0.002719,-0.079271,-0.000671,-0.002657,-0.023279,0.000000,0.041469,-0.011995,-0.096059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.761169,1.250169,0.922536,0.077464,0.019535,-0.003085,10.061134,0.000010,0.569622,198073.000000,1.362575,0.622630,18.089457,961.109985,18.089457,961.109985
3744,0.534693,0.184631,0.268999,-0.021456,-0.006540,-0.002842,-0.072797,-0.001048,-0.002491,-0.022510,0.000000,0.037921,-0.011502,-0.050593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.681787,1.169790,0.950043,0.049957,0.014382,-0.001290,10.063877,0.000010,0.569704,197226.000000,1.401032,0.592695,16.056456,874.900024,16.056456,874.900024
3745,0.557207,0.183466,0.268656,-0.022153,-0.008108,-0.003204,-0.073850,-0.001145,-0.002546,-0.023571,0.000000,0.037640,-0.012373,-0.083796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.645402,1.190220,0.953430,0.046570,0.008389,-0.001488,10.065723,0.000010,0.569762,199063.000000,1.373278,0.602051,17.148424,905.210022,17.148424,905.210022
3746,0.578893,0.191104,0.276768,-0.016260,-0.006678,-0.003021,-0.075408,-0.001059,-0.002600,-0.023660,0.000000,0.039134,-0.012451,-0.019659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.651464,1.204172,0.952606,0.047394,0.009096,-0.001729,10.065880,0.000010,0.569790,192093.000000,1.349332,0.697670,17.962820,914.659973,17.962820,914.659973
3747,0.610618,0.194997,0.286095,-0.009650,-0.005926,-0.002959,-0.077707,-0.000875,-0.002679,-0.023696,0.000000,0.039601,-0.012823,-0.060791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.646764,1.240923,0.952087,0.047913,0.005543,-0.001589,10.063665,0.000171,0.569415,194841.000000,1.318688,0.699441,18.754313,961.900024,18.754313,961.900024
3748,0.640838,0.202790,0.296002,-0.002778,-0.005545,-0.002994,-0.080574,-0.000763,-0.002754,-0.024301,0.000000,0.039515,-0.013187,-0.088720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.653070,1.274506,0.952799,0.047201,0.005482,-0.003143,10.049998,0.000256,0.569000,198834.000000,1.320125,0.657476,19.347496,980.820007,19.347496,980.820007
3749,0.663577,0.203550,0.300002,0.000000,-0.005304,-0.003078,-0.081644,-0.000849,-0.002813,-0.024708,0.000000,0.041379,-0.013657,-0.023191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.638794,1.313519,0.953308,0.046692,0.011450,-0.001765,10.041061,0.000256,0.568475,199888.000000,1.317516,0.649661,20.368834,1000.000000,20.368834,1000.000000
3750,0.640436,0.198435,0.289765,-0.007222,-0.005679,-0.002854,-0.078867,-0.000806,-0.002707,-0.024166,0.000000,0.038940,-0.013064,-0.090195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.621407,1.248496,0.953603,0.046397,0.006309,-0.000892,10.028595,0.000865,0.568575,195969.000000,1.311089,0.695429,19.367315,972.309998,19.367315,972.309998
3751,0.650283,0.200737,0.292114,-0.005556,-0.006184,-0.003056,-0.080008,-0.000760,-0.002769,-0.024429,0.000000,0.039485,-0.013221,-0.076895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.618319,1.258404,0.954336,0.045664,0.008307,0.001291,10.040529,0.000384,0.569162,195504.000000,1.346133,0.665155,19.019976,971.359985,19.019976,971.359985
3752,0.658474,0.199894,0.287506,-0.008674,-0.006312,-0.002981,-0.078610,-0.000975,-0.002715,-0.024207,0.000000,0.037634,-0.013451,-0.103673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.584603,1.223792,0.954905,0.045095,0.007164,-0.001750,10.055434,0.000010,0.569857,192411.000000,1.347108,0.696509,18.663635,942.640015,18.663635,942.640015
3753,0.680995,0.205189,0.298287,-0.001190,-0.005304,-0.003057,-0.081610,-0.000770,-0.002804,-0.024764,0.000000,0.039059,-0.013844,-0.040270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.606523,1.273018,0.954692,0.045308,0.008105,-0.001716,10.063552,0.000256,0.570443,195043.000000,1.371931,0.644113,20.591394,990.409973,20.591394,990.409973
3754,0.663783,0.198790,0.287215,-0.008889,-0.006296,-0.002977,-0.078590,-0.000863,-0.002685,-0.024307,0.000000,0.037655,-0.013091,-0.087087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.572779,1.235060,0.954570,0.045431,0.005160,-0.002754,10.071526,0.000171,0.570494,198386.000000,1.320615,0.661459,19.225666,952.049988,19.225666,952.049988
