step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Episode_Reward/feet_clearance,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
7112,0.290255,0.119673,0.049694,-0.084493,-0.014251,-0.005162,-0.031007,-0.002083,-0.001247,-0.010359,0.000000,0.002108,-0.012214,-0.031649,-0.003315,0.103684,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.200935,0.310560,0.271627,0.115214,0.215330,0.000276,9.801771,0.000010,0.624787,181421.000000,1.980748,0.186665,6.785827,240.419998,6.785827,240.419998
7113,0.264585,0.110446,0.046840,-0.102326,-0.016885,-0.005836,-0.030906,-0.003783,-0.001307,-0.012600,0.000000,0.002122,-0.011995,-0.015917,-0.003504,0.094465,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.214623,0.331686,0.289551,0.119568,0.213601,0.000608,9.807370,0.000010,0.625007,172698.000000,2.000093,0.276796,6.303548,238.990005,6.303548,238.990005
7114,0.332780,0.134545,0.055211,-0.077798,-0.012134,-0.004701,-0.036238,-0.002451,-0.001286,-0.011114,0.000000,0.002225,-0.013167,-0.042426,-0.003148,0.117404,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.196961,0.321142,0.307688,0.123067,0.218439,0.000209,9.813051,0.000010,0.625197,179942.000000,1.980419,0.204808,9.320718,287.929993,9.320718,287.929993
7115,0.320377,0.129933,0.054176,-0.094453,-0.014105,-0.005422,-0.036479,-0.003106,-0.001364,-0.012155,0.000000,0.002235,-0.013853,-0.038318,-0.003666,0.113677,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.208799,0.332105,0.329275,0.127502,0.184349,0.000785,9.817123,0.000010,0.625340,175719.000000,2.050497,0.187257,8.169012,271.429993,8.169012,271.429993
7116,0.363044,0.146348,0.059613,-0.085655,-0.014055,-0.006435,-0.037245,-0.002584,-0.001361,-0.012149,0.000000,0.002428,-0.014073,-0.034573,-0.002633,0.126522,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.215889,0.347250,0.348551,0.130239,0.181424,0.001071,9.821121,0.000010,0.625504,181417.000000,1.974451,0.193012,10.062578,303.220001,10.062578,303.220001
7117,0.375306,0.151554,0.062619,-0.086991,-0.014592,-0.005812,-0.038599,-0.002366,-0.001439,-0.012215,0.000000,0.002552,-0.015233,-0.046377,-0.003134,0.133247,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.233972,0.370353,0.367391,0.132762,0.233398,0.000108,9.825666,0.000010,0.625678,178444.000000,2.010638,0.192943,10.571918,326.209991,10.571918,326.209991
7118,0.388730,0.159517,0.064666,-0.090580,-0.014743,-0.006452,-0.041335,-0.002959,-0.001529,-0.013596,0.000000,0.002802,-0.015052,-0.041111,-0.003190,0.136392,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.236929,0.376136,0.385223,0.136058,0.174972,0.000956,9.830559,0.000010,0.625859,183791.000000,1.948096,0.191371,9.299143,310.350006,9.299143,310.350006
7119,0.425957,0.172594,0.069885,-0.080468,-0.015150,-0.006074,-0.042436,-0.002686,-0.001619,-0.013616,0.000000,0.003075,-0.016434,-0.039515,-0.002286,0.149490,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.245641,0.397353,0.401286,0.138967,0.204023,0.000408,9.835695,0.000010,0.626042,174281.000000,1.936118,0.320091,11.663917,345.779999,11.663917,345.779999
7120,0.418795,0.170904,0.068941,-0.092697,-0.014561,-0.006554,-0.043739,-0.003646,-0.001616,-0.014899,0.000000,0.003095,-0.015931,-0.025910,-0.002872,0.147233,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.248157,0.389672,0.419739,0.140767,0.210858,0.001455,9.840480,0.000010,0.626205,169604.000000,1.944850,0.373574,13.539714,381.549988,13.539714,381.549988
7121,0.433586,0.175637,0.070919,-0.093333,-0.016240,-0.006658,-0.043319,-0.003367,-0.001652,-0.014666,0.000000,0.003081,-0.016751,-0.035081,-0.003794,0.152525,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.241253,0.408166,0.437378,0.142863,0.215765,0.000062,9.844799,0.000010,0.626368,172998.000000,2.081629,0.191321,12.687982,365.670013,12.687982,365.670013
7122,0.484262,0.193853,0.078376,-0.087321,-0.015667,-0.006791,-0.047992,-0.003411,-0.001704,-0.015682,0.000000,0.003187,-0.018257,-0.053255,-0.002796,0.172086,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.265034,0.443086,0.457367,0.145508,0.235890,0.001385,9.849471,0.000010,0.626564,176437.000000,2.037727,0.190915,13.743417,390.809998,13.743417,390.809998
7123,0.489077,0.196559,0.079852,-0.095903,-0.016525,-0.007970,-0.046753,-0.002625,-0.001778,-0.014617,0.000000,0.003395,-0.018743,-0.037744,-0.004932,0.169583,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.270261,0.456977,0.475739,0.147278,0.200636,0.000059,9.854964,0.000010,0.626753,182284.000000,1.956257,0.200903,14.348064,406.890015,14.348064,406.890015
7124,0.470202,0.186199,0.076247,-0.100311,-0.016004,-0.007940,-0.046429,-0.002365,-0.001689,-0.014061,0.000000,0.002751,-0.018535,-0.061540,-0.004404,0.162988,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.259220,0.444580,0.492025,0.149831,0.172495,0.000026,9.859942,0.000010,0.626938,174541.000000,1.905971,0.346879,13.883827,406.510010,13.883827,406.510010
7125,0.583749,0.229996,0.091801,-0.073585,-0.013050,-0.006467,-0.055919,-0.003227,-0.001839,-0.016484,0.000000,0.003576,-0.020738,-0.067694,-0.002392,0.204232,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.267075,0.470007,0.509969,0.151967,0.197752,0.002653,9.864326,0.000010,0.627098,175636.000000,2.017015,0.221791,17.567186,462.089996,17.567186,462.089996
7126,0.539551,0.218464,0.086642,-0.083755,-0.015455,-0.006654,-0.050599,-0.003184,-0.001822,-0.016029,0.000000,0.003741,-0.019162,-0.038742,-0.003043,0.192372,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.277223,0.451105,0.531677,0.153025,0.186605,0.000739,9.868374,0.000010,0.627248,179534.000000,1.996344,0.193857,16.513805,438.980011,16.513805,438.980011
7127,0.575921,0.233544,0.093747,-0.083110,-0.016344,-0.008085,-0.053226,-0.003793,-0.002033,-0.017933,0.000000,0.004173,-0.020917,-0.041581,-0.003181,0.203967,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.314675,0.505201,0.551717,0.154399,0.188190,0.000212,9.872094,0.000010,0.627409,179778.000000,1.993867,0.193360,18.587021,495.190002,18.587021,495.190002
7128,0.636593,0.251494,0.100264,-0.086915,-0.016012,-0.008782,-0.059032,-0.004170,-0.001995,-0.018644,0.000000,0.003930,-0.022860,-0.064504,-0.003340,0.221702,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.295361,0.512385,0.571564,0.155182,0.197055,0.001019,9.877237,0.000010,0.627619,179039.000000,1.978242,0.218013,18.246651,494.489990,18.246651,494.489990
7129,0.672639,0.267691,0.106063,-0.074266,-0.014863,-0.008215,-0.061447,-0.002430,-0.002166,-0.017862,0.000000,0.004660,-0.022634,-0.035087,-0.003881,0.235276,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.310393,0.542971,0.591461,0.156514,0.229421,0.000169,9.882178,0.000010,0.627789,173453.000000,2.054884,0.212102,19.941240,518.520020,19.941240,518.520020
7130,0.685567,0.272509,0.108094,-0.075428,-0.013727,-0.007656,-0.062357,-0.002528,-0.002144,-0.017577,0.000000,0.004371,-0.023991,-0.058680,-0.002880,0.241515,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.312121,0.536747,0.613210,0.157939,0.207682,0.000395,9.886638,0.000010,0.627972,176418.000000,2.011196,0.217687,19.923637,523.010010,19.923637,523.010010
7131,0.682864,0.272820,0.109749,-0.085839,-0.015301,-0.008773,-0.063384,-0.002265,-0.002236,-0.017926,0.000000,0.004628,-0.024665,-0.053185,-0.004715,0.240669,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.343973,0.570427,0.632009,0.159617,0.200871,0.000455,9.890629,0.000010,0.628112,181135.000000,1.941316,0.229523,19.667639,530.609985,19.667639,530.609985
7132,0.715897,0.286880,0.112940,-0.079471,-0.016655,-0.008258,-0.064730,-0.002650,-0.002299,-0.018764,0.000000,0.004949,-0.024840,-0.046855,-0.003513,0.253379,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.337375,0.575154,0.651031,0.161875,0.186432,0.000287,9.894350,0.000010,0.628227,179218.000000,1.888335,0.305723,21.484859,555.289978,21.484859,555.289978
7133,0.689434,0.277416,0.110205,-0.086772,-0.017293,-0.008310,-0.061722,-0.002360,-0.002242,-0.018356,0.000000,0.004500,-0.024576,-0.054660,-0.006779,0.245554,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.342792,0.567018,0.671092,0.164337,0.217604,0.000381,9.897471,0.000010,0.628373,177185.000000,1.946656,0.272574,22.884632,583.729980,22.884632,583.729980
7134,0.740793,0.294704,0.116596,-0.083823,-0.017397,-0.009270,-0.068598,-0.003854,-0.002390,-0.020740,0.000000,0.004948,-0.025615,-0.051080,-0.003975,0.259432,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.338720,0.592629,0.690674,0.165985,0.176018,0.001341,9.901685,0.000010,0.628523,176583.000000,1.981055,0.245742,21.814796,573.429993,21.814796,573.429993
7135,0.748519,0.297331,0.117569,-0.081661,-0.016237,-0.008540,-0.067177,-0.003427,-0.002317,-0.020193,0.000000,0.004863,-0.025607,-0.054243,-0.003412,0.265719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.340583,0.602672,0.708344,0.168243,0.221275,0.004298,9.905217,0.000010,0.628685,177999.000000,2.027193,0.181897,19.737988,531.390015,19.737988,531.390015
7136,0.779547,0.305449,0.121524,-0.085764,-0.017784,-0.008376,-0.072048,-0.004810,-0.002401,-0.022143,0.000000,0.004776,-0.027595,-0.072678,-0.003363,0.273354,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.342437,0.628422,0.725861,0.170105,0.206929,0.001252,9.911504,0.000010,0.628941,184936.000000,1.946077,0.180143,22.662111,598.880005,22.662111,598.880005
7137,0.797490,0.313851,0.124610,-0.083131,-0.015437,-0.009316,-0.073070,-0.003476,-0.002464,-0.021259,0.000000,0.005082,-0.027742,-0.055020,-0.003208,0.279457,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.350254,0.634179,0.747264,0.171000,0.217039,0.000490,9.917402,0.000010,0.629146,184756.000000,1.936836,0.191460,24.929989,635.059998,24.929989,635.059998
7138,0.777213,0.306888,0.122988,-0.087539,-0.017764,-0.009354,-0.072677,-0.003657,-0.002522,-0.021400,0.000000,0.005085,-0.027803,-0.054921,-0.004383,0.275048,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.360684,0.648020,0.767324,0.172180,0.199814,0.002023,9.922182,0.000010,0.629307,184488.000000,1.944889,0.186495,21.473988,578.429993,21.473988,578.429993
7139,0.742873,0.297887,0.118929,-0.100289,-0.019514,-0.008943,-0.068827,-0.003034,-0.002417,-0.019988,0.000000,0.004987,-0.026789,-0.060741,-0.003971,0.266152,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.377692,0.624706,0.783427,0.174052,0.182808,0.001447,9.926556,0.000010,0.629470,183103.000000,1.957524,0.189977,22.402117,594.359985,22.402117,594.359985
7140,0.875025,0.344964,0.136651,-0.080493,-0.016722,-0.009976,-0.075861,-0.002548,-0.002599,-0.020758,0.000000,0.005492,-0.030277,-0.065493,-0.003881,0.308477,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.383940,0.676958,0.800822,0.176005,0.205954,-0.000814,9.931299,0.000010,0.629630,178999.000000,2.017823,0.178923,29.004320,714.409973,29.004320,714.409973
7141,0.781574,0.311518,0.123711,-0.096154,-0.018293,-0.009087,-0.071638,-0.003103,-0.002459,-0.020587,0.000000,0.005268,-0.027550,-0.050228,-0.003517,0.279889,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.373525,0.630624,0.816884,0.179108,0.196894,0.001420,9.935646,0.000010,0.629770,181080.000000,1.988537,0.182961,21.988039,581.890015,21.988039,581.890015
7142,0.878028,0.345309,0.136719,-0.082173,-0.017121,-0.009626,-0.078388,-0.004436,-0.002693,-0.023973,0.000000,0.005780,-0.030230,-0.057675,-0.003820,0.310537,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.379931,0.679066,0.818502,0.181498,0.191950,0.001488,9.938731,0.000010,0.629902,179541.000000,2.007681,0.182426,24.820692,640.260010,24.820692,640.260010
