step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
909,0.000000,0.000000,0.464531,-0.014800,-0.005596,-0.001699,-0.077944,-0.001763,-0.002453,-0.023298,0.000000,0.009693,-0.009779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.600827,1.130070,0.926575,0.073425,0.005945,0.000875,10.297331,0.000010,0.582094,192930.000000,1.843921,0.194198,6.600278,913.359985,6.600278,913.359985
910,0.000000,0.000000,0.471361,-0.011873,-0.005130,-0.001600,-0.078703,-0.000516,-0.002457,-0.021841,0.000000,0.011339,-0.009822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.595497,1.144616,0.925639,0.074361,0.004893,-0.000135,10.306430,0.000010,0.582528,192021.000000,1.854847,0.192926,6.976160,942.169983,6.976160,942.169983
911,0.000000,0.000000,0.466669,-0.013987,-0.005333,-0.001672,-0.078051,-0.000730,-0.002451,-0.021878,0.000000,0.008741,-0.009901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.587065,1.127294,0.927704,0.072296,0.004488,0.000977,10.313118,0.000010,0.582797,191409.000000,1.868314,0.186007,6.844068,933.080017,6.844068,933.080017
912,0.000000,0.000000,0.470551,-0.012271,-0.005252,-0.001642,-0.078640,-0.000644,-0.002457,-0.021852,0.000000,0.011238,-0.009932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.598007,1.138616,0.927287,0.072713,0.004208,0.000453,10.320963,0.000010,0.583203,195160.000000,1.833391,0.181445,7.114923,951.859985,7.114923,951.859985
913,0.000000,0.000000,0.461815,-0.015754,-0.005188,-0.001547,-0.077067,-0.000575,-0.002410,-0.021408,0.000000,0.011598,-0.009651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.582643,1.116962,0.929637,0.070363,0.006568,0.000816,10.328224,0.000010,0.583515,196027.000000,1.823902,0.182025,7.180149,951.450012,7.180149,951.450012
914,0.000000,0.000000,0.466024,-0.014095,-0.005164,-0.001674,-0.077644,-0.000550,-0.002427,-0.021598,0.000000,0.012152,-0.009851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.597368,1.126271,0.930166,0.069834,0.004873,0.000812,10.337523,0.000010,0.584041,196551.000000,1.817255,0.183324,7.463022,980.750000,7.463022,980.750000
915,0.000000,0.000000,0.449065,-0.021238,-0.006068,-0.001833,-0.074858,-0.000872,-0.002352,-0.021425,0.000000,0.009389,-0.009627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.561518,1.097127,0.930389,0.069611,0.003939,-0.000311,10.345817,0.000010,0.584343,196089.000000,1.820868,0.184419,6.580130,913.859985,6.580130,913.859985
916,0.000000,0.000000,0.443799,-0.023671,-0.006580,-0.001983,-0.074121,-0.001487,-0.002333,-0.022075,0.000000,0.010647,-0.009428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.560122,1.096310,0.930013,0.069987,0.004324,0.000767,10.353251,0.000010,0.584713,195519.000000,1.823661,0.187476,6.725633,923.489990,6.725633,923.489990
917,0.000000,0.000000,0.452969,-0.019635,-0.005737,-0.001715,-0.075459,-0.000983,-0.002357,-0.021507,0.000000,0.008043,-0.009396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.560996,1.086661,0.929657,0.070343,0.003270,0.000783,10.360360,0.000010,0.585038,196474.000000,1.815257,0.186103,6.325719,895.400024,6.325719,895.400024
918,0.000000,0.000000,0.462357,-0.015701,-0.005673,-0.001725,-0.076922,-0.000891,-0.002409,-0.021895,0.000000,0.008496,-0.009861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.583550,1.109632,0.930094,0.069906,0.001959,0.001836,10.366673,0.000010,0.585311,197042.000000,1.807235,0.188350,6.427927,903.809998,6.427927,903.809998
919,0.000000,0.000000,0.456038,-0.018320,-0.005743,-0.001750,-0.075914,-0.000729,-0.002380,-0.021230,0.000000,0.007547,-0.009565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.575078,1.097619,0.928294,0.071706,0.002556,-0.000002,10.370869,0.000010,0.585479,197257.000000,1.802635,0.190783,6.362225,894.780029,6.362225,894.780029
920,0.000000,0.000000,0.466707,-0.014385,-0.006473,-0.002098,-0.077999,-0.004941,-0.002410,-0.027137,0.000000,0.011894,-0.009412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.569324,1.112279,0.927856,0.072144,0.001593,0.006831,10.375513,0.000010,0.585731,197749.000000,1.788989,0.199470,6.078071,898.119995,6.078071,898.119995
921,0.000000,0.000000,0.462291,-0.015972,-0.005375,-0.001848,-0.076407,-0.001027,-0.002371,-0.021683,0.000000,0.014324,-0.009661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.567388,1.110238,0.926931,0.073069,0.002087,-0.001223,10.382808,0.000010,0.586155,199382.000000,1.775954,0.196212,6.781078,924.229980,6.781078,924.229980
922,0.000000,0.000000,0.449834,-0.021111,-0.005979,-0.001914,-0.074510,-0.000731,-0.002337,-0.020880,0.000000,0.009333,-0.009570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.554924,1.088239,0.927124,0.072876,0.002733,-0.000564,10.391159,0.000010,0.586486,199594.000000,1.772192,0.197886,6.532924,905.119995,6.532924,905.119995
923,0.000000,0.000000,0.420072,-0.033333,-0.007948,-0.002111,-0.070004,-0.002420,-0.002231,-0.021866,0.000000,0.008570,-0.009093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.526762,1.062393,0.925578,0.074422,0.001407,0.000477,10.398046,0.000010,0.586789,199698.000000,1.783891,0.185160,5.976234,866.340027,5.976234,866.340027
924,0.000000,0.000000,0.485754,-0.005833,-0.004200,-0.001558,-0.080186,-0.000447,-0.002454,-0.021882,0.000000,0.005084,-0.009844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.610848,1.149894,0.926015,0.073985,0.001189,0.000078,10.403985,0.000010,0.587045,202445.000000,1.753377,0.188957,6.420553,903.820007,6.420553,903.820007
925,0.000000,0.000000,0.459954,-0.016667,-0.005776,-0.001703,-0.076120,-0.001385,-0.002362,-0.021854,0.000000,0.008034,-0.009356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.571873,1.099885,0.927032,0.072968,0.000774,0.008916,10.409071,0.000010,0.587258,199913.000000,1.779631,0.187303,6.664255,923.039978,6.664255,923.039978
926,0.000000,0.000000,0.469751,-0.012500,-0.004905,-0.001680,-0.077391,-0.000438,-0.002389,-0.021105,0.000000,0.006781,-0.009481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.614892,1.112575,0.926504,0.073497,0.000132,-0.001516,10.411579,0.000010,0.587282,210133.000000,1.681864,0.189408,6.559681,913.280029,6.559681,913.280029
927,0.000000,0.000000,0.480881,-0.008333,-0.004861,-0.001768,-0.078861,-0.000314,-0.002425,-0.021638,0.000000,0.020327,-0.009497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.554329,1.127357,0.926178,0.073822,0.000206,-0.001121,10.409535,0.000010,0.587114,207979.000000,1.701933,0.188712,6.489798,904.109985,6.489798,904.109985
928,0.000000,0.000000,0.490059,-0.004167,-0.004643,-0.001637,-0.080066,-0.000379,-0.002484,-0.022408,0.000000,0.008305,-0.009492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.623328,1.163489,0.926392,0.073608,0.000191,-0.001464,10.407433,0.000010,0.587038,209087.000000,1.688787,0.191846,6.494606,904.330017,6.494606,904.330017
929,0.000000,0.000000,0.449277,-0.020833,-0.004983,-0.001579,-0.073370,-0.000386,-0.002225,-0.020164,0.000000,0.006732,-0.009206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.542716,1.023185,0.926585,0.073415,0.000056,-0.002186,10.404680,0.000010,0.586865,207455.000000,1.710894,0.184526,6.507031,904.369995,6.507031,904.369995
930,0.000000,0.000000,0.500007,0.000000,-0.004026,-0.001698,-0.081412,-0.000133,-0.002438,-0.021879,0.000000,0.013743,-0.009722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.584191,1.167301,0.926636,0.073364,0.000070,-0.001923,10.398466,0.000010,0.586474,210455.000000,1.684919,0.183487,6.519668,904.369995,6.519668,904.369995
931,0.000000,0.000000,0.500007,0.000000,-0.003888,-0.001608,-0.080844,-0.000230,-0.002463,-0.021456,0.000000,0.011861,-0.009469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.628435,1.137296,0.927002,0.072998,0.000057,-0.002041,10.392156,0.000010,0.586229,212914.000000,1.660941,0.185884,6.657456,914.099976,6.657456,914.099976
932,0.000000,0.000000,0.500007,0.000000,-0.004191,-0.001748,-0.081696,-0.000280,-0.002510,-0.021581,0.000000,0.011098,-0.009609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.618208,1.146860,0.927246,0.072754,0.000198,-0.001208,10.386773,0.000010,0.585986,208633.000000,1.699320,0.185404,6.936023,932.989990,6.936023,932.989990
933,0.000000,0.000000,0.479756,-0.008333,-0.006148,-0.001581,-0.078385,-0.000446,-0.002416,-0.022555,0.000000,0.000000,-0.009941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.595291,1.132926,0.927175,0.072825,0.000215,-0.000650,10.380894,0.000010,0.585708,212072.000000,1.665869,0.188287,6.799404,923.280029,6.799404,923.280029
934,0.000000,0.000000,0.489882,-0.004167,-0.004378,-0.001677,-0.079816,-0.000200,-0.002378,-0.021456,0.000000,0.001084,-0.009191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.567187,1.139645,0.927328,0.072673,0.000170,-0.001268,10.375172,0.000010,0.585340,211358.000000,1.668774,0.191649,6.789935,923.270020,6.789935,923.270020
935,0.000000,0.000000,0.459673,-0.016667,-0.005246,-0.001768,-0.074955,-0.000556,-0.002261,-0.020610,0.000000,0.014211,-0.008934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.534609,1.085249,0.927124,0.072876,0.000163,-0.001023,10.364775,0.000010,0.584864,211672.000000,1.668012,0.189648,6.802220,923.320007,6.802220,923.320007
936,0.000000,0.000000,0.500007,0.000000,-0.003907,-0.001562,-0.081188,-0.000219,-0.002433,-0.021523,0.000000,0.003926,-0.009656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.574741,1.151830,0.927307,0.072693,0.000344,-0.000889,10.353875,0.000010,0.584282,214687.000000,1.635597,0.195976,7.049098,942.469971,7.049098,942.469971
937,0.000000,0.000000,0.417849,-0.033333,-0.004608,-0.001478,-0.069330,-0.000536,-0.002192,-0.019014,0.000000,0.010124,-0.008135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.543884,1.002621,0.927205,0.072795,0.000196,-0.001231,10.340579,0.000010,0.583697,208340.000000,1.699045,0.188331,6.904118,932.130005,6.904118,932.130005
938,0.000000,0.000000,0.500007,0.000000,-0.004276,-0.001701,-0.081045,-0.000206,-0.002463,-0.021368,0.000000,0.016516,-0.010099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.594543,1.164830,0.927409,0.072591,0.000032,-0.001836,10.330894,0.000010,0.583256,214661.000000,1.644827,0.186964,6.914165,932.130005,6.914165,932.130005
939,0.000000,0.000000,0.500007,0.000000,-0.004206,-0.001663,-0.081518,-0.000196,-0.002508,-0.021981,0.000000,0.011778,-0.010091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.606630,1.173661,0.927490,0.072510,0.000163,-0.000901,10.320134,0.000010,0.582735,212285.000000,1.666605,0.185690,6.913204,932.130005,6.913204,932.130005
940,0.000000,0.000000,0.500007,0.000000,-0.004036,-0.001702,-0.081846,-0.000262,-0.002497,-0.021886,0.000000,0.009680,-0.010068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.622514,1.173836,0.927490,0.072510,0.000405,-0.001163,10.310417,0.000010,0.582334,208710.000000,1.691322,0.192700,7.155092,951.400024,7.155092,951.400024
941,0.000000,0.000000,0.500007,0.000000,-0.004099,-0.001598,-0.081505,-0.000235,-0.002479,-0.021911,0.000000,0.007231,-0.009704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.591458,1.143271,0.927785,0.072215,0.001005,-0.001264,10.303312,0.000010,0.582080,200389.000000,1.774855,0.187404,7.138499,951.400024,7.138499,951.400024
942,0.000000,0.000000,0.462871,-0.015556,-0.005496,-0.001911,-0.075805,-0.000858,-0.002363,-0.021290,0.000000,0.010077,-0.009922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.567838,1.079371,0.927694,0.072306,0.001378,0.004513,10.301665,0.000010,0.582099,198007.000000,1.795688,0.190180,7.408222,971.140015,7.408222,971.140015
943,0.000000,0.000000,0.491465,-0.003472,-0.004479,-0.001621,-0.080279,-0.000361,-0.002487,-0.021930,0.000000,0.011748,-0.009597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.591203,1.151491,0.927856,0.072144,0.002100,-0.001011,10.305928,0.000010,0.582415,199558.000000,1.782152,0.188275,7.440981,970.630005,7.440981,970.630005
944,0.000000,0.000000,0.481721,-0.007500,-0.004435,-0.001640,-0.078766,-0.000406,-0.002415,-0.021102,0.000000,0.009381,-0.009576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.568696,1.121314,0.928335,0.071665,0.001536,-0.000430,10.312291,0.000010,0.582673,196643.000000,1.811841,0.187801,7.161378,951.349976,7.161378,951.349976
945,0.000000,0.000000,0.480347,-0.008228,-0.004811,-0.001797,-0.078435,-0.000926,-0.002405,-0.021683,0.000000,0.008586,-0.009369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.574459,1.120456,0.928304,0.071696,0.002837,0.005918,10.319915,0.000010,0.583082,187224.000000,1.907816,0.192417,7.111948,952.429993,7.111948,952.429993
946,0.000000,0.000000,0.474937,-0.010417,-0.004925,-0.001684,-0.077749,-0.000674,-0.002395,-0.021399,0.000000,0.008434,-0.009477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.573371,1.109869,0.927745,0.072255,0.004938,0.002914,10.331214,0.000010,0.583701,187101.000000,1.915125,0.186496,7.006611,942.400024,7.006611,942.400024
947,0.000000,0.000000,0.475402,-0.010217,-0.004762,-0.001597,-0.077675,-0.000478,-0.002381,-0.021009,0.000000,0.012534,-0.009505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.568090,1.100019,0.928182,0.071818,0.005372,0.001721,10.342030,0.000010,0.584102,185802.000000,1.927700,0.188616,7.313725,961.270020,7.313725,961.270020
948,0.000000,0.000000,0.481242,-0.007846,-0.004972,-0.001727,-0.078758,-0.000670,-0.002436,-0.021552,0.000000,0.010804,-0.009588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.591151,1.126898,0.928314,0.071686,0.004513,0.004113,10.349415,0.000010,0.584383,186569.000000,1.920501,0.187112,7.363688,971.299988,7.363688,971.299988
949,0.000000,0.000000,0.475744,-0.010029,-0.004989,-0.001698,-0.077625,-0.000473,-0.002387,-0.021079,0.000000,0.010291,-0.009330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.578174,1.109227,0.928792,0.071208,0.004995,0.000045,10.354711,0.000010,0.584643,189270.000000,1.887525,0.190009,7.454700,970.859985,7.454700,970.859985
950,0.000000,0.000000,0.474832,-0.010426,-0.007975,-0.002864,-0.077753,-0.010483,-0.002392,-0.033486,0.000000,0.009734,-0.009632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.582677,1.110146,0.928996,0.071004,0.005660,0.000340,10.361893,0.000010,0.585029,195643.000000,1.821407,0.188448,5.627814,903.539978,5.627814,903.539978
951,0.000000,0.000000,0.465977,-0.014179,-0.005413,-0.001782,-0.076200,-0.000705,-0.002364,-0.020933,0.000000,0.010152,-0.009393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.575367,1.100603,0.928955,0.071045,0.007291,0.001568,10.372267,0.000010,0.585571,194355.000000,1.834951,0.188226,6.918930,932.799988,6.918930,932.799988
952,0.000000,0.000000,0.468189,-0.013248,-0.006899,-0.002298,-0.076928,-0.006112,-0.002385,-0.027746,0.000000,0.010165,-0.009361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.580424,1.098911,0.928446,0.071554,0.008806,0.007824,10.382257,0.000010,0.586042,192453.000000,1.856032,0.187142,7.096119,951.919983,7.096119,951.919983
953,0.000000,0.000000,0.457934,-0.017420,-0.005484,-0.001680,-0.075061,-0.000621,-0.002332,-0.020680,0.000000,0.009555,-0.009182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.565137,1.081085,0.927907,0.072093,0.006620,0.000602,10.389225,0.000010,0.586267,195540.000000,1.825417,0.185505,6.632315,913.289978,6.632315,913.289978
954,0.000000,0.000000,0.465540,-0.014300,-0.005255,-0.001611,-0.076161,-0.000798,-0.002365,-0.021113,0.000000,0.009264,-0.009367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.570088,1.093935,0.927104,0.072896,0.005123,0.003292,10.401107,0.000015,0.587260,188563.000000,1.890509,0.194812,6.778501,923.479980,6.778501,923.479980
955,0.000000,0.000000,0.450224,-0.020887,-0.006456,-0.001902,-0.073915,-0.002396,-0.002318,-0.022437,0.000000,0.008286,-0.009149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.556819,1.081943,0.925446,0.074554,0.006887,0.003519,10.419350,0.000010,0.587817,189948.000000,1.877717,0.192403,6.745053,922.719971,6.745053,922.719971
956,0.000000,0.000000,0.446262,-0.022229,-0.005666,-0.001618,-0.073381,-0.000837,-0.002304,-0.020550,0.000000,0.010163,-0.008988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.556160,1.056861,0.924205,0.075795,0.005500,0.002085,10.433246,0.000010,0.588547,187443.000000,1.907232,0.190557,6.316802,883.960022,6.316802,883.960022
957,0.000000,0.000000,0.461740,-0.015860,-0.005431,-0.001682,-0.076077,-0.001600,-0.002385,-0.021807,0.000000,0.009506,-0.009275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.581013,1.100378,0.922597,0.077403,0.004970,0.005016,10.446554,0.000010,0.589089,188947.000000,1.889629,0.191461,6.512625,904.020020,6.512625,904.020020
958,0.000000,0.000000,0.436057,-0.026574,-0.006494,-0.001914,-0.072156,-0.002131,-0.002292,-0.021842,0.000000,0.010195,-0.008722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.555944,1.062752,0.922668,0.077332,0.004028,0.000892,10.465364,0.000051,0.590795,191226.000000,1.860189,0.196092,6.257188,884.280029,6.257188,884.280029
959,0.000000,0.000000,0.453916,-0.019120,-0.005567,-0.001614,-0.074897,-0.001142,-0.002352,-0.021308,0.000000,0.011298,-0.009059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.568153,1.083166,0.922384,0.077616,0.003448,-0.001165,10.508563,0.000010,0.592239,193655.000000,1.836182,0.194313,6.591904,903.440002,6.591904,903.440002
960,0.000000,0.000000,0.462221,-0.015913,-0.005413,-0.001566,-0.076082,-0.000599,-0.002401,-0.020876,0.000000,0.008509,-0.009200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.587101,1.091475,0.922221,0.077779,0.001180,-0.000227,10.528818,0.000010,0.593203,191302.000000,1.867068,0.188398,6.654852,914.229980,6.654852,914.229980
961,0.000000,0.000000,0.468087,-0.013274,-0.005057,-0.001532,-0.076870,-0.000507,-0.002419,-0.021020,0.000000,0.006312,-0.009846,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.576879,1.112861,0.923604,0.076396,0.001578,-0.001376,10.550287,0.000010,0.594383,193036.000000,1.849960,0.187040,6.978396,942.239990,6.978396,942.239990
962,0.000000,0.000000,0.462223,-0.015833,-0.005917,-0.001782,-0.075772,-0.000918,-0.002392,-0.021320,0.000000,0.010355,-0.009387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.590245,1.112576,0.924703,0.075297,0.001311,-0.001551,10.567031,0.000010,0.594773,193593.000000,1.842150,0.188995,6.626932,913.760010,6.626932,913.760010
963,0.000000,0.000000,0.461716,-0.015972,-0.005323,-0.001534,-0.075804,-0.001199,-0.002360,-0.021436,0.000000,0.008051,-0.008993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.555260,1.095913,0.924062,0.075938,0.001487,-0.001326,10.578671,0.000010,0.595498,193534.000000,1.844425,0.187332,6.102482,875.809998,6.102482,875.809998
964,0.000000,0.000000,0.444123,-0.023194,-0.006062,-0.001464,-0.073265,-0.000891,-0.002300,-0.020557,0.000000,0.005401,-0.008840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.549589,1.069639,0.924062,0.075938,0.002104,-0.000586,10.593433,0.000010,0.596139,192088.000000,1.858635,0.188426,6.602444,914.169983,6.602444,914.169983
965,0.000000,0.000000,0.456706,-0.017917,-0.005472,-0.001506,-0.075034,-0.000710,-0.002351,-0.020688,0.000000,0.012806,-0.008995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.545869,1.094525,0.924917,0.075083,0.001671,-0.000944,10.602719,0.000010,0.596409,191198.000000,1.851164,0.205418,6.426269,893.570007,6.426269,893.570007
966,0.000000,0.000000,0.378829,-0.050278,-0.008327,-0.002076,-0.063395,-0.002033,-0.002050,-0.019530,0.000000,0.007539,-0.007921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.510747,0.962643,0.923350,0.076650,0.001808,0.000332,10.608445,0.000010,0.596708,192664.000000,1.854188,0.186749,5.926001,855.919983,5.926001,855.919983
967,0.000000,0.000000,0.479850,-0.008333,-0.005070,-0.001384,-0.078892,-0.000396,-0.002470,-0.021593,0.000000,0.008333,-0.009496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.612104,1.149901,0.923004,0.076996,0.000540,-0.001395,10.622255,0.000076,0.598040,196154.000000,1.817991,0.186634,5.910498,855.849976,5.910498,855.849976
968,0.000000,0.000000,0.410703,-0.037500,-0.009534,-0.002832,-0.068521,-0.001455,-0.002210,-0.020422,0.000000,0.005284,-0.008477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.544309,1.068310,0.923299,0.076701,0.000459,-0.000900,10.645395,0.000051,0.598486,198831.000000,1.791796,0.185839,5.863727,856.419983,5.863727,856.419983
969,0.000000,0.000000,0.442985,-0.025000,-0.006824,-0.001731,-0.073648,-0.000987,-0.002379,-0.020868,0.000000,0.004988,-0.009444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.553944,1.068017,0.923126,0.076874,0.000688,-0.001139,10.645652,0.000114,0.598085,204393.000000,1.731187,0.192636,6.113400,877.010010,6.113400,877.010010
970,0.000000,0.000000,0.500007,0.000000,-0.003966,-0.001387,-0.082544,-0.000241,-0.002557,-0.021849,0.000000,0.003734,-0.009463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.623366,1.185783,0.922699,0.077301,0.000682,-0.002032,10.624616,0.000034,0.597000,201781.000000,1.758052,0.190670,6.212151,886.750000,6.212151,886.750000
971,0.000000,0.000000,0.446447,-0.022222,-0.005412,-0.001426,-0.073563,-0.000568,-0.002347,-0.020571,0.000000,0.004679,-0.009322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.559424,1.079559,0.922831,0.077169,0.000426,-0.001752,10.589732,0.000577,0.593344,203315.000000,1.743424,0.190596,6.353204,896.369995,6.353204,896.369995
972,0.000000,0.000000,0.414821,-0.036111,-0.007936,-0.001972,-0.068429,-0.001116,-0.002252,-0.019484,0.000000,0.013693,-0.009633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.533701,1.025552,0.922323,0.077677,0.000300,0.000141,10.509939,0.000114,0.590843,206195.000000,1.711215,0.195788,6.375985,896.630005,6.375985,896.630005
973,0.000000,0.000000,0.479923,-0.008333,-0.004660,-0.001384,-0.079175,-0.000406,-0.002441,-0.021843,0.000000,0.013942,-0.009301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.578295,1.128376,0.922099,0.077901,0.000531,-0.001884,10.410776,0.000577,0.583771,204842.000000,1.717281,0.202317,6.250173,887.000000,6.250173,887.000000
