# JOINT_HIP_PITCH_L,JOINT_HIP_ROLL_L,JOINT_HIP_YAW_L,JOINT_KNEE_PITCH_L,JOINT_ANKLE_PITCH_L,JOINT_ANKLE_ROLL_L,JOINT_HIP_PITCH_R,JOINT_HIP_ROLL_R,JOINT_HIP_YAW_R,JOINT_KNEE_PITCH_R,JOINT_ANKLE_PITCH_R,JOINT_ANKLE_ROLL_R,joint_la1,joint_ra1
18.3377,-0.0000,0.0000,16.6222,-3.4584,0.0000,-24.3894,-0.0000,0.0000,27.1991,-10.1971,0.0000,3.4062,-11.5787
16.9640,-0.0000,0.0000,20.7594,-1.0252,-0.0000,-23.8931,-0.0000,0.0000,29.0018,-9.2529,0.0000,2.1579,-10.8143
14.4729,-0.0000,0.0000,27.9789,3.7023,0.0000,-22.0936,-0.0000,0.0000,31.1426,-9.7771,-0.0000,0.2248,-9.8064
12.0176,-0.0000,0.0000,33.5210,7.1292,0.0000,-21.0026,-0.0000,0.0000,32.0574,-10.6841,-0.0000,-0.3987,-8.8216
9.1073,-0.0000,0.0000,39.1841,8.8189,0.0000,-19.6156,0.0000,0.0000,32.2127,-11.4355,-0.0000,-1.2064,-7.9549
4.0182,-0.0000,0.0000,47.4017,6.4728,-0.0000,-17.5260,0.0000,0.0000,31.5594,-11.8789,-0.0000,-1.9122,-6.7873
0.6586,-0.0000,-0.0000,51.9851,3.4569,-0.0000,-16.0769,0.0000,0.0000,31.0262,-12.1823,-0.0000,-2.2733,-5.8526
-3.8858,-0.0000,-0.0000,57.1589,0.1539,-0.0000,-13.0596,0.0000,0.0000,29.5938,-12.5740,-0.0000,-3.2443,-4.6119
-6.5506,0.0000,-0.0000,59.5667,-0.4834,-0.0000,-10.4021,0.0000,0.0000,28.1952,-12.9702,-0.0000,-3.9676,-3.7093
-9.3982,0.0000,-0.0000,61.1526,-1.4609,-0.0000,-8.6054,0.0000,0.0000,26.9905,-13.1485,-0.0000,-4.6341,-2.7543
-13.4868,0.0000,-0.0000,61.9057,-2.2191,-0.0000,-6.3069,0.0000,0.0000,25.9663,-13.8729,-0.0000,-5.7173,-1.4766
-16.2195,0.0000,-0.0000,61.6158,-3.0415,-0.0000,-5.2395,0.0000,0.0000,25.3250,-13.9273,-0.0000,-6.3689,-0.6119
-19.4778,0.0000,-0.0000,60.1009,-3.9332,-0.0000,-2.3494,0.0000,0.0000,23.7219,-14.3593,-0.0000,-7.3137,0.7459
-21.1946,0.0000,-0.0000,57.8541,-5.1524,-0.0000,-0.6548,0.0000,0.0000,23.0042,-14.5081,-0.0000,-7.9904,2.1266
-22.5416,0.0000,-0.0000,54.6344,-6.3984,0.0000,0.9137,0.0000,0.0000,22.2463,-14.5120,-0.0000,-8.3780,3.2660
-24.0866,0.0000,-0.0000,48.6087,-6.9414,0.0000,3.7901,0.0000,0.0000,19.8367,-14.0678,-0.0000,-9.0110,4.7753
-24.7666,0.0000,-0.0000,43.8326,-6.9859,0.0000,6.2658,0.0000,-0.0000,17.3906,-13.0148,-0.0000,-9.2019,6.0827
-25.3032,0.0000,-0.0000,35.5804,-7.5127,0.0000,9.5786,0.0000,-0.0000,13.9624,-11.8150,-0.0000,-9.5045,7.6264
-25.1214,0.0000,-0.0000,30.2313,-7.8895,0.0000,11.7148,0.0000,-0.0000,11.8292,-10.6615,-0.0000,-8.9639,9.1416
-24.8732,0.0000,-0.0000,25.8221,-8.7339,0.0000,14.0182,0.0000,-0.0000,9.3150,-9.3342,-0.0000,-9.0444,9.7488
-24.3702,0.0000,-0.0000,21.6425,-10.0959,0.0000,18.8346,0.0000,-0.0000,4.1109,-6.1428,-0.0000,-9.0545,10.5509
-24.2273,0.0000,-0.0000,20.8387,-11.0023,0.0000,22.7706,0.0000,-0.0000,0.0000,-4.0591,-0.0000,-9.2939,10.4762
-24.0544,0.0000,-0.0000,21.5902,-10.4181,0.0000,24.8454,0.0000,-0.0000,1.1715,-3.1851,-0.0000,-9.3220,10.3114
-24.5562,0.0000,-0.0000,23.5470,-7.1829,0.0000,23.5006,0.0000,-0.0000,6.6471,-3.6221,-0.0000,-9.4074,9.5567
-25.2398,0.0000,-0.0000,26.5210,-4.9142,-0.0000,22.4445,0.0000,-0.0000,10.9336,-2.8285,-0.0000,-9.0158,8.9815
-25.7494,0.0000,-0.0000,30.8612,-3.4451,-0.0000,19.9256,0.0000,-0.0000,18.8879,-0.1982,0.0000,-8.5035,7.4717
-25.5768,0.0000,-0.0000,33.3055,-4.3244,0.0000,17.7562,0.0000,-0.0000,24.5823,3.3244,-0.0000,-8.1957,6.2475
-23.8860,0.0000,-0.0000,35.3582,-6.6185,0.0000,14.4247,0.0000,0.0000,33.9128,8.9096,-0.0000,-7.0851,5.1055
-22.0310,-0.0000,-0.0000,35.5814,-7.7876,0.0000,11.3380,0.0000,0.0000,40.1806,11.2585,-0.0000,-6.8829,4.7089
-20.7161,-0.0000,-0.0000,35.4522,-8.9609,0.0000,7.8524,0.0000,0.0000,45.5036,10.3487,-0.0000,-6.3781,4.2443
-18.2658,-0.0000,-0.0000,34.6271,-9.9881,0.0000,2.8452,-0.0000,0.0000,51.7343,6.4247,-0.0000,-5.5790,3.6910
-16.2538,-0.0000,-0.0000,33.8676,-10.8529,0.0000,-0.1051,-0.0000,0.0000,54.4142,4.4482,0.0000,-4.8055,3.1952
-13.1589,-0.0000,-0.0000,32.0024,-11.0871,0.0000,-4.6363,-0.0000,0.0000,57.1893,-0.1391,0.0000,-3.8006,2.2197
-11.3139,-0.0000,-0.0000,30.5861,-11.2723,0.0000,-7.9405,-0.0000,0.0000,58.1985,-2.1139,0.0000,-3.3832,1.2585
-8.9314,-0.0000,-0.0000,29.2938,-11.6068,0.0000,-10.4802,-0.0000,0.0000,58.1351,-3.2243,0.0000,-2.7347,0.5778
-6.0835,-0.0000,-0.0000,27.8614,-12.0563,0.0000,-14.2734,-0.0000,0.0000,56.4389,-5.5757,0.0000,-2.0533,-0.9750
-4.1653,-0.0000,-0.0000,26.8547,-12.5078,0.0000,-16.5193,-0.0000,0.0000,54.3794,-6.5087,0.0000,-1.6890,-1.8421
-1.5727,-0.0000,-0.0000,25.2132,-12.6574,0.0000,-19.0662,-0.0000,0.0000,49.6460,-8.3047,-0.0000,-0.8476,-3.2829
0.1015,-0.0000,-0.0000,23.7505,-12.2178,0.0000,-20.4218,-0.0000,0.0000,45.5945,-8.6729,-0.0000,-0.5121,-4.4902
2.3322,-0.0000,-0.0000,21.5473,-11.4649,0.0000,-21.5706,-0.0000,0.0000,41.3454,-8.9041,-0.0000,0.1531,-5.3565
5.5190,-0.0000,-0.0000,18.3986,-10.7033,0.0000,-22.3544,-0.0000,0.0000,34.2368,-10.0999,-0.0000,0.6613,-7.0793
7.5374,-0.0000,-0.0000,16.4909,-9.8996,0.0000,-22.4218,-0.0000,0.0000,29.5933,-11.0948,-0.0000,1.3025,-8.0010
10.7762,-0.0000,-0.0000,13.1474,-8.6082,0.0000,-22.7937,-0.0000,0.0000,24.0953,-13.6996,-0.0000,2.2147,-9.2392
13.8018,-0.0000,0.0000,10.5414,-7.4735,0.0000,-22.9554,-0.0000,0.0000,21.9866,-14.1406,-0.0000,2.7076,-9.9935
15.8514,-0.0000,0.0000,9.0838,-6.4625,0.0000,-23.6523,-0.0000,0.0000,20.6471,-14.7383,-0.0000,2.7212,-11.0062
17.0174,-0.0000,0.0000,10.6820,-6.2489,0.0000,-23.3472,-0.0000,0.0000,19.3625,-14.4686,-0.0000,3.1785,-11.6830
17.6355,-0.0000,0.0000,12.0688,-5.7590,0.0000,-23.0131,-0.0000,0.0000,19.9102,-14.1295,-0.0000,2.7378,-12.1979
19.3527,-0.0000,0.0000,13.7927,-4.3768,0.0000,-22.0638,-0.0000,0.0000,22.6155,-13.2035,-0.0000,2.1016,-12.0657
19.7690,-0.0000,0.0000,15.1678,-2.5366,0.0000,-22.0872,-0.0000,0.0000,25.2624,-10.9983,-0.0000,1.0936,-12.4229
18.9187,-0.0000,0.0000,17.6957,-0.1021,-0.0000,-22.7294,-0.0000,0.0000,27.9338,-9.8109,-0.0000,0.1293,-12.1538
16.8479,0.0000,0.0000,24.2185,4.1100,0.0000,-21.7114,-0.0000,0.0000,30.8806,-9.2989,-0.0000,-1.3185,-11.5027
15.2826,0.0000,0.0000,29.9077,6.6545,0.0000,-19.6441,0.0000,0.0000,32.1982,-9.8837,-0.0000,-2.1135,-10.5382
11.4967,0.0000,0.0000,38.5578,9.5392,0.0000,-17.5864,0.0000,0.0000,33.6099,-11.2202,-0.0000,-3.2204,-9.3698
8.5529,0.0000,0.0000,43.7084,8.9017,0.0000,-16.5738,0.0000,0.0000,33.6278,-12.0803,-0.0000,-3.6498,-8.5223
5.5933,0.0000,0.0000,48.4158,7.7374,-0.0000,-14.6293,0.0000,0.0000,32.8438,-12.2384,-0.0000,-4.0296,-7.7284
0.3686,0.0000,-0.0000,53.7662,3.4955,-0.0000,-12.4857,0.0000,0.0000,31.4211,-12.8064,-0.0000,-4.5448,-6.7450
-2.4389,0.0000,-0.0000,56.1226,-0.4907,-0.0000,-10.4856,0.0000,0.0000,30.4185,-13.0292,-0.0000,-4.7037,-5.7146
-6.9698,0.0000,-0.0000,57.8889,-1.9210,-0.0000,-7.5374,0.0000,0.0000,28.5216,-13.4365,-0.0000,-5.0899,-4.1902
-9.8335,0.0000,-0.0000,58.1805,-3.4955,-0.0000,-5.8182,0.0000,0.0000,27.2709,-13.4366,-0.0000,-5.6155,-3.4745
-12.6258,0.0000,-0.0000,57.9026,-4.7674,-0.0000,-4.4988,0.0000,0.0000,26.6319,-13.6767,-0.0000,-5.9396,-2.4052
-16.3241,0.0000,-0.0000,55.8939,-6.0483,-0.0000,-2.4613,0.0000,0.0000,25.9264,-14.5199,-0.0000,-6.6971,-1.1489
-18.0038,0.0000,-0.0000,53.3050,-6.6809,0.0000,-1.2750,0.0000,0.0000,24.9364,-14.3317,-0.0000,-7.2836,-0.2705
-20.6050,0.0000,-0.0000,48.3867,-7.5441,0.0000,1.1332,0.0000,0.0000,22.8090,-13.4502,-0.0000,-7.5804,1.4997
-21.5467,0.0000,-0.0000,44.1038,-7.9278,0.0000,2.8894,0.0000,0.0000,21.1632,-12.9719,-0.0000,-7.7153,2.6449
-22.7679,0.0000,-0.0000,39.3688,-8.2490,0.0000,4.6028,0.0000,-0.0000,19.2329,-12.6028,-0.0000,-8.1478,3.6856
-23.1456,0.0000,-0.0000,32.2589,-9.2219,0.0000,8.3272,0.0000,-0.0000,15.5687,-11.3077,-0.0000,-8.3927,5.6330
-23.3923,0.0000,-0.0000,27.7196,-9.4436,0.0000,10.2882,0.0000,-0.0000,13.5826,-10.3559,-0.0000,-8.7583,7.0655
-23.5821,0.0000,-0.0000,21.9891,-10.1882,0.0000,13.4146,0.0000,-0.0000,10.9631,-8.8158,-0.0000,-9.2316,8.8104
-23.9702,0.0000,-0.0000,20.2357,-10.7080,0.0000,16.0111,0.0000,-0.0000,8.2723,-7.4615,-0.0000,-9.5705,9.8064
-24.5503,0.0000,-0.0000,20.1481,-11.1473,0.0000,19.2151,0.0000,-0.0000,5.0940,-5.7584,-0.0000,-9.7830,10.4457
-24.9531,0.0000,-0.0000,21.4593,-11.1736,0.0000,21.3435,0.0000,-0.0000,6.2501,-5.0752,-0.0000,-10.3559,10.8112
-25.4984,0.0000,-0.0000,23.1816,-10.9565,0.0000,21.0942,0.0000,-0.0000,9.4795,-4.7074,-0.0000,-10.5021,10.6987
-25.4863,0.0000,-0.0000,26.4136,-8.7385,0.0000,21.5437,0.0000,-0.0000,13.1549,-2.7694,-0.0000,-10.7806,9.9760
-25.3349,0.0000,-0.0000,29.1089,-7.5460,-0.0000,21.2564,0.0000,-0.0000,16.2600,-0.2064,0.0000,-10.7446,9.2444
-25.7696,0.0000,-0.0000,31.8494,-6.2714,-0.0000,19.4202,0.0000,-0.0000,21.2238,3.1583,-0.0000,-9.8483,8.6669
-25.3505,0.0000,-0.0000,34.7126,-7.2202,0.0000,15.6099,0.0000,0.0000,30.8102,8.1115,-0.0000,-9.1340,7.2178
-24.0524,-0.0000,-0.0000,35.6672,-8.3578,0.0000,13.1156,-0.0000,0.0000,37.0578,11.0486,-0.0000,-8.1668,6.7510
-21.3020,-0.0000,-0.0000,35.4408,-9.7361,0.0000,8.3487,-0.0000,0.0000,46.3307,9.3987,-0.0000,-6.9347,5.9943
-19.7569,-0.0000,-0.0000,34.6166,-10.2725,0.0000,4.6727,-0.0000,0.0000,51.7737,6.3310,0.0000,-6.2697,5.4284
-17.6562,-0.0000,-0.0000,33.5939,-10.8853,0.0000,1.4810,-0.0000,0.0000,55.7439,2.9443,0.0000,-5.6580,4.5547
